state,customers,orders,gmv,avg_order_value,avg_review_score,late_orders,canceled_orders,late_delivery_rate,cancellation_rate
AC,77,81,19669.7,242.8358024691358,4.049382716049383,3,0,0.037037037037037035,0.0
AL,401,413,96229.4,234.13479318734792,3.7609756097560973,85,1,0.20581113801452786,0.002421307506053269
AM,143,148,27835.73,189.3587074829932,4.205479452054795,4,0,0.02702702702702703,0.0
AP,67,68,16262.8,239.15882352941176,4.1940298507462686,2,0,0.029411764705882353,0.0
BA,3277,3380,611506.67,182.10442823108994,3.861077844311377,396,16,0.11715976331360947,0.004733727810650888
CE,1313,1336,275606.3,207.6912584777694,3.854449472096531,176,7,0.1317365269461078,0.005239520958083832
DF,2075,2140,353229.44,166.2256188235294,4.066964285714286,118,7,0.05514018691588785,0.0032710280373831778
ES,1964,2033,324801.91,160.3960049382716,4.038384845463609,214,9,0.10526315789473684,0.004426955238563699
GO,1952,2020,347706.93,173.24710014947684,4.043348281016442,128,13,0.06336633663366337,0.006435643564356435
MA,726,747,151171.99,204.28647297297297,3.7580862533692723,125,4,0.16733601070950468,0.00535475234270415
MG,11259,11635,1856161.49,160.79014986139987,4.135753851480007,520,64,0.0446927374301676,0.005500644606789858
MS,694,715,135956.67,191.75834978843443,4.109396914446003,68,2,0.0951048951048951,0.002797202797202797
MT,876,907,186168.96,206.16717607973422,4.101666666666667,53,2,0.05843439911797133,0.002205071664829107
PA,949,975,217647.11,224.37846391752575,3.8461538461538463,106,4,0.10871794871794872,0.0041025641025641026
PB,519,536,140987.81,265.0146804511278,4.016981132075472,54,2,0.10074626865671642,0.0037313432835820895
PE,1609,1652,322237.69,195.53257888349515,4.008562691131498,153,5,0.09261501210653753,0.003026634382566586
PI,482,495,108132.28,219.33525354969575,3.9183673469387754,66,4,0.13333333333333333,0.00808080808080808
PR,4882,5045,798935.44,159.85102841136452,4.181111775254035,199,22,0.03944499504459861,0.004360753221010902
RJ,12384,12852,2129681.98,166.87682024761008,3.877262814954941,1495,86,0.11632430750077809,0.006691565515094927
RN,474,485,101895.08,211.40058091286306,4.105208333333334,44,0,0.09072164948453608,0.0
RO,240,253,57558.020000000004,233.0284210526316,4.051587301587301,7,3,0.02766798418972332,0.011857707509881422
RR,45,46,10064.619999999999,218.79608695652172,3.608695652173913,5,1,0.10869565217391304,0.021739130434782608
RS,5277,5466,885826.76,163.07561855670104,4.133657909241228,325,25,0.059458470545188435,0.004573728503476033
SC,3534,3637,608213.6,168.38693244739756,4.073704627320588,291,19,0.08001099807533682,0.005224085784987627
SE,342,350,73032.32,211.68788405797105,3.8080229226361033,51,1,0.1457142857142857,0.002857142857142857
SP,40302,41746,5919678.12,143.07379141993957,4.1741255144032925,1820,327,0.04359699132851052,0.007833085804627988
TO,273,280,61354.42,219.90831541218637,4.096774193548387,27,1,0.09642857142857143,0.0035714285714285713
